Abbreviation	Title	Authors	Status	Year	Arxiv link	DOI	Official Link	Volume	Number	Pages	Publisher	Month	Address	Type	Venue	School	Awards	Notes	Image Filename	Include on Website	Links to Code	Links to Video
Ramarymad21_Springer	Numerical Simulation of Radiative MHD Sutterby Nanofluid Flow Through Porous Medium in the Presence of Hall Currents and Electroosmosis	K. Ramesh Aryaman Patel and Madhav Rawal	published	2021	N/A	10.1007/s40819-021-00971-1	https://link.springer.com/article/10.1007/s40819-021-00971-1	N/A	N/A	N/A	Springer	February	N/A	journal	N/A	N/A	N/A		N/A	Y	N/A	N/A
Ramarymad21_Taylor	Electroosmosis and transverse magnetic effects on radiative tangent hyperbolic nanofluid flow through porous medium	K. Ramesh Aryaman Patel and Madhav Rawal	published	2021	N/A	10.1080/01430750.2020.1862912	https://www.tandfonline.com/doi/abs/10.1080/01430750.2020.1862912	N/A	N/A	N/A	Taylor and Francis	January	N/A	journal	N/A	N/A	N/A		N/A	Y	N/A	N/A
